document_order,depth,node_type,node_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
55,6,introduction,G5FLi7FC,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,exercises,RAON6KKq,,introduction,G5FLi7FC,Introduction,,,
56,6,introduction,TdI3i2sO,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,exercises,RAON6KKq,,introduction,TdI3i2sO,Introduction,,,
57,6,introduction,LtULoR7w,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,exercises,RAON6KKq,,introduction,LtULoR7w,Introduction,,,
58,6,introduction,N2lqT0rv,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,exercises,RAON6KKq,,introduction,N2lqT0rv,Introduction,,,
59,6,introduction,D1EWq4Xt,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,exercises,RAON6KKq,,introduction,D1EWq4Xt,Introduction,,,
60,6,introduction,97uonvao,Introduction,section-combining-like-terms.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-combining-like-terms,Combining Like Terms,exercises,RAON6KKq,,introduction,97uonvao,Introduction,,,
61,4,section,section-comparison-symbols-and-notation-for-intervals,Comparison Symbols and Notation for Intervals,section-comparison-symbols-and-notation-for-intervals.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-comparison-symbols-and-notation-for-intervals,Comparison Symbols and Notation for Intervals,,,,,,,,,
62,5,introduction,Gvm5KXAj,Introduction,section-comparison-symbols-and-notation-for-intervals.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-comparison-symbols-and-notation-for-intervals,Comparison Symbols and Notation for Intervals,introduction,Gvm5KXAj,Introduction,,,,,,
63,5,subsection,HsNZu0jX,Comparison Symbols,section-comparison-symbols-and-notation-for-intervals.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-comparison-symbols-and-notation-for-intervals,Comparison Symbols and Notation for Intervals,subsection,HsNZu0jX,Comparison Symbols,,,,,,
64,6,introduction,WYQtkEp7,Introduction,section-comparison-symbols-and-notation-for-intervals.ptx,book,orcca,Open Resources for Community College Algebra,part,part-linear-equations-and-lines,Linear Equations and Lines,chapter,chapter-variables-expressions-equations-and-inequalities,"Variables, Expressions, Equations, and Inequalities",section,section-comparison-symbols-and-notation-for-intervals,Comparison Symbols and Notation for Intervals,subsection,HsNZu0jX,Comparison Symbols,introduction,WYQtkEp7,Introduction,,,
