collection_title,chapter_order,chapter_title,subcollection_path,module_order,module_id,module_title,row_type,section_order,section_level,section_id,section_title,source_path
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,3,m81270,"Evaluate, Simplify, and Translate Expressions",section,5,1,fs-id2202182,Key Concepts,PREALG/modules/m81270/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,3,m81270,"Evaluate, Simplify, and Translate Expressions",section,6,2,fs-id1358784,Practice Makes Perfect,PREALG/modules/m81270/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,3,m81270,"Evaluate, Simplify, and Translate Expressions",section,7,2,fs-id2142270,Everyday Math,PREALG/modules/m81270/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,3,m81270,"Evaluate, Simplify, and Translate Expressions",section,8,2,fs-id1215436,Writing Exercises,PREALG/modules/m81270/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,3,m81270,"Evaluate, Simplify, and Translate Expressions",section,9,2,eip-929,Self Check,PREALG/modules/m81270/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,module,,,,,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,1,1,fs-id2318611,Determine Whether a Number is a Solution of an Equation,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,2,1,fs-id2756986,Model the Subtraction Property of Equality,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,3,1,fs-id2587256,Solve Equations Using the Subtraction Property of Equality,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,4,1,fs-id1710915,Solve Equations Using the Addition Property of Equality,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,5,1,fs-id1549757,Translate Word Phrases to Algebraic Equations,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,6,1,fs-id2485751,Translate to an Equation and Solve,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,7,1,fs-id2199586,Key Concepts,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,8,2,fs-id1522372,Practice Makes Perfect,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,9,2,fs-id2279578,Everyday Math,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,10,2,fs-id1787256,Writing Exercises,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,4,m81271,Solving Equations Using the Subtraction and Addition Properties of Equality,section,11,2,eip-263,Self Check,PREALG/modules/m81271/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,5,m81272,Find Multiples and Factors,module,,,,,PREALG/modules/m81272/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,5,m81272,Find Multiples and Factors,section,1,1,fs-id2654602,Identify Multiples of Numbers,PREALG/modules/m81272/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,5,m81272,Find Multiples and Factors,section,2,1,fs-id1566084,Use Common Divisibility Tests,PREALG/modules/m81272/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,5,m81272,Find Multiples and Factors,section,3,1,fs-id2172492,Find All the Factors of a Number,PREALG/modules/m81272/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,5,m81272,Find Multiples and Factors,section,4,1,fs-id1500003,Identify Prime and Composite Numbers,PREALG/modules/m81272/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,5,m81272,Find Multiples and Factors,section,5,1,fs-id2382506,Key Concepts,PREALG/modules/m81272/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,5,m81272,Find Multiples and Factors,section,6,2,fs-id1932982,Practice Makes Perfect,PREALG/modules/m81272/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,5,m81272,Find Multiples and Factors,section,7,2,fs-id1721184,Everyday Math,PREALG/modules/m81272/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,5,m81272,Find Multiples and Factors,section,8,2,fs-id2168145,Writing Exercises,PREALG/modules/m81272/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,5,m81272,Find Multiples and Factors,section,9,2,eip-387,Self Check,PREALG/modules/m81272/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,module,,,,,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,1,1,fs-id2268140,Find the Prime Factorization of a Composite Number,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,2,2,fs-id2759014,Prime Factorization Using the Factor Tree Method,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,3,2,fs-id1392559,Prime Factorization Using the Ladder Method,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,4,1,fs-id4363755,Find the Least Common Multiple (LCM) of Two Numbers,PREALG/modules/m81273/index.cnxml
prealgebra-2e,2,The Language of Algebra,The Language of Algebra,6,m81273,Prime Factorization and the Least Common Multiple,section,5,2,fs-id2669058,Listing Multiples Method,PREALG/modules/m81273/index.cnxml
