document_order,depth,node_type,node_id,original_id,node_title,source_path,level_1_type,level_1_id,level_1_title,level_2_type,level_2_id,level_2_title,level_3_type,level_3_id,level_3_title,level_4_type,level_4_id,level_4_title,level_5_type,level_5_id,level_5_title,level_6_type,level_6_id,level_6_title,level_7_type,level_7_id,level_7_title
49,6,introduction,ORCCAoQxOTkASKF,,Introduction,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,subsection,ORCCAdYmVbyITgs,Combining Like Terms,introduction,ORCCAoQxOTkASKF,Introduction,,,
50,5,subsection,ORCCAmaBkd207PQ,,Applications,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,subsection,ORCCAmaBkd207PQ,Applications,,,,,,
51,5,exercises,ORCCAipIeU9Jh5B,,,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,exercises,ORCCAipIeU9Jh5B,,,,,,,
52,6,introduction,ORCCATj9AbJKBSa,,Introduction,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,exercises,ORCCAipIeU9Jh5B,,introduction,ORCCATj9AbJKBSa,Introduction,,,
53,6,introduction,ORCCASLuPKdJgKz,,Introduction,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,exercises,ORCCAipIeU9Jh5B,,introduction,ORCCASLuPKdJgKz,Introduction,,,
54,6,introduction,ORCCATZobwtouQV,,Introduction,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,exercises,ORCCAipIeU9Jh5B,,introduction,ORCCATZobwtouQV,Introduction,,,
55,6,introduction,ORCCAjR6cNeh0cw,,Introduction,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,exercises,ORCCAipIeU9Jh5B,,introduction,ORCCAjR6cNeh0cw,Introduction,,,
56,6,introduction,ORCCA8PoxFLrQnP,,Introduction,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,exercises,ORCCAipIeU9Jh5B,,introduction,ORCCA8PoxFLrQnP,Introduction,,,
57,6,introduction,ORCCAyvrArx8PNg,,Introduction,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,exercises,ORCCAipIeU9Jh5B,,introduction,ORCCAyvrArx8PNg,Introduction,,,
58,6,introduction,ORCCAXhOtIGUWyc,,Introduction,section-combining-like-terms.ptx,book,ORCCARkvKXFEUIT,Open Resources for Community College Algebra,part,ORCCAKXtbIA6wwK,Linear Equations and Lines,chapter,ORCCAtSPX0Fl70e,"Variables, Expressions, Equations, and Inequalities",section,ORCCAXLqNAYJcXe,Combining Like Terms,exercises,ORCCAipIeU9Jh5B,,introduction,ORCCAXhOtIGUWyc,Introduction,,,
